date,min,max,night_duration,day_duration
2022-01-01,10.5,14.4,57460.183204,28939.816796
2022-01-02,10.7,13.7,57398.750908,29001.249092
2022-01-03,9.1,11.0,57331.437894999995,29068.562105
2022-01-04,5.4,8.8,57258.322862,29141.677138
2022-01-05,1.9,6.8,57179.490378999995,29220.509621
2022-01-06,1.0,7.4,57095.030486999996,29304.969513
2022-01-07,4.0,6.8,57005.038539,29394.961461
2022-01-08,1.4,8.0,56909.614555,29490.385445
2022-01-09,1.5,8.4,56808.863058999996,29591.136941
2022-01-10,-2.4,3.7,56702.892602,29697.107398
2022-01-11,0.7,5.3,56591.815112,29808.184888
2022-01-12,0.9,5.5,56475.745976,29924.254024
2022-01-13,0.1,6.6,56354.803321,30045.196679
2022-01-14,-1.8,11.2,56229.107524,30170.892476
2022-01-15,0.7,7.0,56098.781214,30301.218786
2022-01-16,0.0,6.5,55963.948390000005,30436.05161
2022-01-17,3.5,9.0,55824.734581,30575.265419
2022-01-18,0.8,6.6,55681.265956999996,30718.734043
2022-01-19,1.7,7.5,55533.669412999996,30866.330587
2022-01-20,2.4,6.7,55382.072085,31017.927915
2022-01-21,1.4,8.2,55226.600952,31173.399048
2022-01-22,4.6,5.9,55067.382503,31332.617497
2022-01-23,4.6,5.9,54904.542831,31495.457169
2022-01-24,-1.9,7.1,54738.206900000005,31661.7931
2022-01-25,-3.4,2.2,54568.498466000005,31831.501534
2022-01-26,1.1,5.3,54395.540240999995,32004.459759
2022-01-27,3.7,9.5,54219.452844,32180.547156
2022-01-28,1.5,10.7,54040.355444,32359.644556
2022-01-29,5.8,12.0,53858.365202,32541.634798
2022-01-30,1.5,9.9,53673.597022999995,32726.402977
2022-01-31,5.2,7.8,53486.163721,32913.836279
2022-02-01,2.4,11.7,53296.175775,33103.824225
2022-02-02,8.9,11.5,53103.740931,33296.259069
2022-02-03,7.5,8.6,52908.964679,33491.035321
2022-02-04,5.1,10.0,52711.949695,33688.050305
2022-02-05,2.5,10.0,52512.795997,33887.204003
2022-02-06,8.4,11.1,52311.600951,34088.399049
2022-02-07,2.0,9.6,52108.459023,34291.540977
2022-02-08,6.8,11.4,51903.461865,34496.538135
2022-02-09,7.9,12.0,51696.698472,34703.301528
2022-02-10,4.6,8.9,51488.254944,34911.745056
2022-02-11,2.0,8.8,51278.214402,35121.785598
2022-02-12,-1.0,7.8,51066.657553,35333.342447
2022-02-13,1.6,11.6,50853.661967,35546.338033
2022-02-14,8.1,11.7,50639.302639,35760.697361
